employee_key,employee_id,full_name,email,department,role,salary,years_experience,status,change_reason,valid_from,valid_to,is_current
1,EMP0001,Anjali Desai,anjali.desai@presight.ai,Operations,Senior Data Engineer,9882.0,6,Active,Initial appointment,2019-08-06,2021-08-22,False
2,EMP0001,Anjali Desai,anjali.desai@presight.ai,Operations,Senior Data Engineer,11383.0,6,Active,Market correction adjustment,2021-08-22,2022-10-09,False
3,EMP0001,Anjali Desai,anjali.desai@presight.ai,Operations,Senior Data Engineer,17839.0,6,Active,Promoted following review,2022-10-09,9999-12-31,True
4,EMP0002,Mohammed Mansour,mohammed.mansour@presight.ai,Operations,Senior Data Engineer,33928.0,11,Active,Hire - Initial Appointment,2014-08-20,9999-12-31,True
5,EMP0003,Adam Rahman,adam.rahman@presight.ai,Legal,Compliance Analyst,12743.0,4,Active,Initial appointment,2021-02-17,2023-01-21,False
6,EMP0003,Adam Rahman,adam.rahman@presight.ai,Legal,Compliance Analyst,14807.0,4,Active,Promoted following review,2023-01-21,2023-02-01,False
7,EMP0003,Adam Rahman,adam.rahman@presight.ai,Legal,Compliance Analyst,18763.0,4,Active,Cost of living adjustment,2023-02-01,9999-12-31,True
8,EMP0004,Fatima Al Suwaidi,fatima.al.suwaidi@presight.ai,Procurement,Procurement Analyst,14834.0,2,Active,Initial appointment,2024-05-30,2025-01-10,False
9,EMP0004,Fatima Al Suwaidi,fatima.al.suwaidi@presight.ai,Procurement,Procurement Analyst,17737.0,2,Active,Cost of living adjustment,2025-01-10,2025-01-24,False
10,EMP0004,Fatima Al Suwaidi,fatima.al.suwaidi@presight.ai,Procurement,Procurement Analyst,18854.0,2,Active,Retention adjustment,2025-01-24,2025-06-29,False
11,EMP0004,Fatima Al Suwaidi,fatima.al.suwaidi@presight.ai,Procurement,Procurement Analyst,20100.0,2,Active,Annual performance increase,2025-06-29,9999-12-31,True
12,EMP0005,Priya Chen,priya.chen@presight.ai,Procurement,Procurement Analyst,14370.0,0,Active,Hire - Initial Appointment,2024-02-21,9999-12-31,True
13,EMP0006,Rohan Murthy,rohan.murthy@presight.ai,HR,Learning & Development,15200.0,2,Active,Initial appointment,2024-03-28,2024-09-27,False
14,EMP0006,Rohan Murthy,rohan.murthy@presight.ai,HR,Learning & Development,17654.0,2,Active,Market correction adjustment,2024-09-27,2025-01-09,False
15,EMP0006,Rohan Murthy,rohan.murthy@presight.ai,HR,Learning & Development,19734.0,2,Active,Promoted following review,2025-01-09,2025-04-25,False
16,EMP0006,Rohan Murthy,rohan.murthy@presight.ai,HR,Learning & Development,22749.0,2,Active,Retention adjustment,2025-04-25,9999-12-31,True
17,EMP0007,Abdulla Farooq,abdulla.farooq@presight.ai,HR,HR Analyst,17155.0,5,Active,Initial appointment,2021-07-25,2022-07-17,False
18,EMP0007,Abdulla Farooq,abdulla.farooq@presight.ai,HR,HR Analyst,19279.0,5,Active,Project completion bonus integration,2022-07-17,2022-08-18,False
19,EMP0007,Abdulla Farooq,abdulla.farooq@presight.ai,HR,HR Analyst,28752.0,5,Active,Annual performance increase,2022-08-18,9999-12-31,True
20,EMP0008,Kavya Mehta,kavya.mehta@presight.ai,Operations,Supply Chain Analyst,22145.0,12,Active,Initial appointment,2013-05-18,2014-03-03,False
21,EMP0008,Kavya Mehta,kavya.mehta@presight.ai,Operations,Supply Chain Analyst,25313.0,12,Active,Market correction adjustment,2014-03-03,2016-10-30,False
22,EMP0008,Kavya Mehta,kavya.mehta@presight.ai,Operations,Supply Chain Analyst,28912.0,12,Active,Market correction adjustment,2016-10-30,2018-03-09,False
23,EMP0008,Kavya Mehta,kavya.mehta@presight.ai,Operations,Supply Chain Analyst,35532.0,12,Active,Annual performance increase,2018-03-09,9999-12-31,True
24,EMP0009,Eman Saeed,eman.saeed@presight.ai,Legal,Compliance Analyst,12521.0,5,Active,Initial appointment,2020-01-26,2021-09-16,False
25,EMP0009,Eman Saeed,eman.saeed@presight.ai,Legal,Compliance Analyst,21174.0,5,Active,Promoted following review,2021-09-16,9999-12-31,True
26,EMP0010,Ravi Joshi,ravi.joshi@presight.ai,Legal,Legal Analyst,12983.0,4,Active,Initial appointment,2023-01-06,2025-01-10,False
27,EMP0010,Ravi Joshi,ravi.joshi@presight.ai,Legal,Legal Analyst,21334.0,4,Active,Project completion bonus integration,2025-01-10,9999-12-31,True
28,EMP0011,Mariam Najjar,mariam.najjar@presight.ai,HR,Learning & Development,13295.0,3,Active,Hire - Initial Appointment,2022-05-15,9999-12-31,True
29,EMP0012,Reem Najjar,reem.najjar@presight.ai,Sustainability,Data Analyst,18770.0,7,Active,Initial appointment,2020-09-29,2024-05-06,False
